Rank,Name,Industry,Sector,Headquarters,Revenue,% Change,Profit,Asset,Market Value,Employees
1,Walmart,General Merchandisers,Retailing,"Bentonville, AR",$611.29,7%,$11.68,$243.20,$397.48,2100000
2,Amazon,Internet Services and Retailing,Retailing,"Seattle, WA",$513.98,9%,$2.72,$462.68,$1058.44,1541000
3,Exxon Mobil,Petroleum Refining,Energy,"Irving, TX",$413.68,45%,$55.74,$369.07,$446.42,62000
4,Apple,"Computers, Office Equipment",Technology,"Cupertino, CA",$394.33,8%,$99.80,$352.76,$2609.04,164000
5,UnitedHealth Group,Health Care: Insurance and Managed Care,Health Care,"Minnetonka, MN",$324.16,13%,$20.12,$245.70,$440.85,400000
6,CVS Health,Health Care: Pharmacy and Other Services,Health Care,"Woonsocket, RI",$322.47,10%,$4.15,$228.28,$95.42,259500
7,Berkshire Hathaway,Insurance: Property and Casualty (Stock),Financials,"Omaha, NE",$302.09,9%,$22.82,$948.45,$675.66,383000
8,Alphabet,Internet Services and Retailing,Technology,"Mountain View, CA",$282.84,10%,$59.97,$365.26,$1330.20,190234
9,McKesson,Wholesalers: Health Care,Health Care,"Irving, TX",$263.97,11%,$1.11,$63.30,$48.76,66500
10,Chevron,Petroleum Refining,Energy,"San Ramon, CA",$246.25,52%,$35.47,$257.71,$311.09,43846
11,AmerisourceBergen,Wholesalers: Health Care,Health Care,"Conshohocken, PA",$238.59,11%,$1.70,$56.56,$32.38,41500
12,Costco Wholesale,General Merchandisers,Retailing,"Issaquah, WA",$226.95,16%,$5.84,$64.17,$220.35,304000
13,Microsoft,Computer Software,Technology,"Redmond, WA",$198.27,18%,$72.74,$364.84,$2146.05,221000
14,Cardinal Health,Wholesalers: Health Care,Health Care,"Dublin, OH",$181.36,12%,$0.93,$43.88,$19.45,46035
15,Cigna,Health Care: Pharmacy and Other Services,Health Care,"Bloomfield, CT",$180.52,4%,$6.67,$143.93,$75.90,70231
16,Marathon Petroleum,Petroleum Refining,Energy,"Findlay, OH",$180.01,28%,$14.52,$89.90,$59.54,17800
17,Phillips 66,Petroleum Refining,Energy,"Houston, TX",$175.70,53%,$11.02,$76.44,$46.73,13000
18,Valero Energy,Petroleum Refining,Energy,"San Antonio, TX",$171.19,58%,$11.53,$60.98,$51.35,9743
19,Ford Motor,Motor Vehicles & Parts,Motor Vehicles & Parts,"Dearborn, MI",$158.06,16%,$1.98,$255.88,$50.40,173000
20,Home Depot,Specialty Retailers: Other,Retailing,"Atlanta, GA",$157.40,4%,$17.10,$76.44,$299.53,471600
21,General Motors,Motor Vehicles & Parts,Motor Vehicles & Parts,"Detroit, MI",$156.74,23%,$9.93,$264.04,$51.16,167000
22,Elevance Health,Health Care: Insurance and Managed Care,Health Care,"Indianapolis, IN",$156.60,13%,$6.02,$102.77,$109.10,102300
23,JPMorgan Chase,Commercial Banks,Financials,"New York, NY",$154.79,22%,$37.68,$3665.74,$383.55,293723
24,Kroger,Food & Drug Stores,Food & Drug Stores,"Cincinnati, OH",$148.26,8%,$2.24,$49.62,$35.42,430000
25,Centene,Health Care: Insurance and Managed Care,Health Care,"St. Louis, MO",$144.55,15%,$1.20,$76.87,$34.81,74300
26,Verizon Communications,Telecommunications,Telecommunications,"New York, NY",$136.84,2%,$21.26,$379.68,$163.33,117100
27,Walgreens Boots Alliance,Food & Drug Stores,Food & Drug Stores,"Deerfield, IL",$132.70,-11%,$4.34,$90.12,$29.84,262500
28,Fannie Mae,Diversified Financials,Financials,"Washington, DC",$121.60,20%,$12.92,$4305.29,$0.48,8000
29,Comcast,Telecommunications,Telecommunications,"Philadelphia, PA",$121.43,4%,$5.37,$257.27,$159.83,186000
30,AT&T,Telecommunications,Telecommunications,"Dallas, TX",$120.74,-28%,$8.52,$402.85,$137.25,160700
31,Meta Platforms,Internet Services and Retailing,Technology,"Menlo Park, CA",$116.61,-1%,$23.20,$185.73,$549.48,86482
32,Bank of America,Commercial Banks,Financials,"Charlotte, NC",$115.05,23%,$27.53,$3051.38,$228.78,216823
33,Target,General Merchandisers,Retailing,"Minneapolis, MN",$109.12,3%,$2.78,$53.34,$76.25,440000
34,Dell Technologies,"Computers, Office Equipment",Technology,"Round Rock, TX",$102.30,-4%,$2.44,$89.61,$29.40,133000
35,Archer Daniels Midland,Food Production,"Food, Beverages & Tobacco","Chicago, IL",$101.56,19%,$4.34,$59.77,$43.53,41181
36,Citigroup,Commercial Banks,Financials,"New York, NY",$101.08,27%,$14.84,$2416.68,$91.27,238104
37,UPS,"Mail, Package, and Freight Delivery",Transportation,"Atlanta, GA",$100.34,3%,$11.55,$71.12,$166.19,404700
38,Pfizer,Pharmaceuticals,Health Care,"New York, NY",$100.33,23%,$31.37,$197.20,$230.29,83000
39,Lowe's,Specialty Retailers: Other,Retailing,"Mooresville, NC",$97.06,1%,$6.44,$43.71,$119.25,244500
40,Johnson & Johnson,Pharmaceuticals,Health Care,"New Brunswick, NJ",$94.94,1%,$17.94,$187.38,$483.58,152700
41,FedEx,"Mail, Package, and Freight Delivery",Transportation,"Memphis, TN",$93.51,11%,$3.83,$85.99,$57.43,464400
42,Humana,Health Care: Insurance and Managed Care,Health Care,"Louisville, KY",$92.87,12%,$2.81,$43.06,$60.72,67100
43,Energy Transfer,Pipelines,Energy,"Dallas, TX",$89.88,33%,$4.76,$105.64,$38.59,12565
44,State Farm Insurance,Insurance: Property and Casualty (Mutual),Financials,"Bloomington, IL",$89.33,9%,$6.65,$318.24,,60519
45,Freddie Mac,Diversified Financials,Financials,"McLean, VA",$86.72,32%,$9.33,$3208.33,$0.27,7819
46,PepsiCo,Food Consumer Products,"Food, Beverages & Tobacco","Purchase, NY",$86.39,9%,$8.91,$92.19,$251.08,315000
47,Wells Fargo,Commercial Banks,Financials,"San Francisco, CA",$82.86,1%,$13.18,$1881.02,$141.19,238000
48,Walt Disney,Entertainment,Media,"Burbank, CA",$82.72,23%,$3.14,$203.63,$182.92,195800
49,ConocoPhillips,"Mining, Crude-Oil Production",Energy,"Houston, TX",$82.16,70%,$18.68,$93.83,$120.78,9500
50,Tesla,Motor Vehicles & Parts,Motor Vehicles & Parts,"Austin, TX",$81.46,51%,$12.56,$82.34,$656.42,127855
51,Procter & Gamble,Household and Personal Products,Household Products,"Cincinnati, OH",$80.19,5%,$14.74,$117.21,$350.78,106000
52,General Electric,Industrial Machinery,Industrials,"Boston, MA",$76.56,3%,$0.22,$187.79,$104.23,172000
53,Albertsons,Food & Drug Stores,Food & Drug Stores,"Boise, ID",$71.89,3%,$1.62,$28.12,$11.13,195750
54,MetLife,"Insurance: Life, Health (Stock)",Financials,"New York, NY",$69.90,-2%,$2.54,$666.61,$44.87,45000
55,Goldman Sachs Group,Commercial Banks,Financials,"New York, NY",$68.71,6%,$11.26,$1441.80,$113.96,48500
56,Sysco,Wholesalers: Food and Grocery,Wholesalers,"Houston, TX",$68.64,34%,$1.36,$22.09,$39.20,70510
57,Raytheon Technologies,Aerospace & Defense,Aerospace & Defense,"Arlington, VA",$67.07,4%,$5.20,$158.86,$143.29,182000
58,Boeing,Aerospace & Defense,Aerospace & Defense,"Arlington, VA",$66.61,7%,$4.93,$137.10,$127.28,156000
59,StoneX Group,Diversified Financials,Financials,"New York, NY",$66.04,55%,$0.21,$19.86,$2.14,3615
60,Lockheed Martin,Aerospace & Defense,Aerospace & Defense,"Bethesda, MD",$65.98,-2%,$5.73,$52.88,$120.32,116000
61,Morgan Stanley,Commercial Banks,Financials,"New York, NY",$65.94,8%,$11.03,$1180.23,$147.67,82427
62,Intel,Semiconductors and Other Electronic Components,Technology,"Santa Clara, CA",$63.05,-20%,$8.01,$182.10,$136.27,131900
63,HP,"Computers, Office Equipment",Technology,"Palo Alto, CA",$62.98,-1%,$3.20,$38.59,$28.92,58000
64,TD Synnex,Wholesalers: Electronics and Office Equipment,Wholesalers,"Fremont, CA",$62.34,97%,$0.65,$29.73,$9.06,28500
65,IBM,Information Technology Services,Technology,"Armonk, NY",$60.53,-16%,$1.64,$127.24,$118.91,303100
66,HCA Healthcare,Health Care: Medical Facilities,Health Care,"Nashville, TN",$60.23,3%,$5.64,$52.44,$73.11,250500
67,Prudential Financial,"Insurance: Life, Health (Stock)",Financials,"Newark, NJ",$60.05,-15%,$1.44,$689.92,$30.36,39583
68,Caterpillar,Construction and Farm Machinery,Industrials,"Irving, TX",$59.43,17%,$6.70,$81.94,$118.16,109100
69,Merck,Pharmaceuticals,Health Care,"Rahway, NJ",$59.28,16%,$14.52,$109.16,$270.08,68000
70,World Fuel Services,Energy,Energy,"Miami, FL",$59.04,88%,$0.11,$8.16,$1.58,5214
71,New York Life Insurance,"Insurance: Life, Health (Mutual)",Financials,"New York, NY",$58.44,14%,$1.13,$392.13,,15050
72,Enterprise Products Partners,Pipelines,Energy,"Houston, TX",$58.19,43%,$5.49,$68.11,$56.22,7300
73,AbbVie,Pharmaceuticals,Health Care,"North Chicago, IL",$58.05,3%,$11.84,$138.80,$281.15,50000
74,Plains GP Holdings,Pipelines,Energy,"Houston, TX",$57.34,36%,$0.17,$29.21,$2.55,4100
75,Dow,Chemicals,Chemicals,"Midland, MI",$56.90,4%,$4.58,$60.60,$38.81,37800
76,AIG,Insurance: Property and Casualty (Stock),Financials,"New York, NY",$56.44,8%,$10.28,$526.63,$36.95,26200
77,American Express,Diversified Financials,Financials,"New York, NY",$55.62,27%,$7.51,$228.35,$122.73,77300
78,Publix Super Markets,Food & Drug Stores,Food & Drug Stores,"Lakeland, FL",$54.94,14%,$2.92,$31.05,,242000
79,Charter Communications,Telecommunications,Telecommunications,"Stamford, CT",$54.02,5%,$5.06,$144.52,$60.48,101700
80,Tyson Foods,Food Production,"Food, Beverages & Tobacco","Springdale, AR",$53.28,13%,$3.24,$36.82,$21.10,142000
81,Deere,Construction and Farm Machinery,Industrials,"Moline, IL",$52.58,19%,$7.13,$90.03,$122.35,82239
82,Cisco Systems,Network and Other Communications Equipment,Technology,"San Jose, CA",$51.56,3%,$11.81,$94.00,$214.11,83300
83,Nationwide,Insurance: Property and Casualty (Mutual),Financials,"Columbus, OH",$51.45,9%,$0.99,$264.51,,24791
84,Allstate,Insurance: Property and Casualty (Stock),Financials,"Northbrook, IL",$51.41,-3%,$1.31,$97.96,$29.18,54250
85,Delta Air Lines,Airlines,Transportation,"Atlanta, GA",$50.58,69%,$1.32,$72.29,$22.39,95000
86,Liberty Mutual Insurance Group,Insurance: Property and Casualty (Stock),Financials,"Boston, MA",$49.96,4%,$0.41,$160.32,,50000
87,TJX,Specialty Retailers: Apparel,Retailing,"Framingham, MA",$49.94,3%,$3.50,$28.35,$90.32,329000
88,Progressive,Insurance: Property and Casualty (Stock),Financials,"Mayfield Village, OH",$49.61,4%,$0.72,$75.46,$83.74,55063
89,American Airlines Group,Airlines,Transportation,"Fort Worth, TX",$48.97,64%,$0.13,$64.72,$9.63,129700
90,CHS,Food Production,"Food, Beverages & Tobacco","Inver Grove Heights, MN",$47.79,24%,$1.68,$18.82,,10014
91,Performance Food Group,Wholesalers: Food and Grocery,Wholesalers,"Richmond, VA",$47.19,55%,$0.11,$12.38,$9.42,34825
92,PBF Energy,Petroleum Refining,Energy,"Parsippany, NJ",$46.83,72%,$2.88,$13.55,$5.59,3616
93,Nike,Apparel,Apparel,"Beaverton, OR",$46.71,5%,$6.05,$40.32,$190.16,79100
94,Best Buy,Specialty Retailers: Other,Retailing,"Richfield, MN",$46.30,-11%,$1.42,$15.80,$17.07,71100
95,Bristol-Myers Squibb,Pharmaceuticals,Health Care,"New York, NY",$46.16,0%,$6.33,$96.82,$145.78,34300
96,United Airlines Holdings,Airlines,Transportation,"Chicago, IL",$44.96,82%,$0.74,$67.36,$14.47,92795
97,Thermo Fisher Scientific,"Scientific, Photographic and Control Equipment",Technology,"Waltham, MA",$44.92,15%,$6.95,$97.15,$222.15,130000
98,Qualcomm,Semiconductors and Other Electronic Components,Technology,"San Diego, CA",$44.20,32%,$12.94,$49.01,$142.25,51000
99,Abbott Laboratories,Medical Products and Equipment,Health Care,"Abbott Park, IL",$43.65,1%,$6.93,$74.44,$175.98,115000
100,Coca-Cola,Beverages,"Food, Beverages & Tobacco","Atlanta, GA",$43.00,11%,$9.54,$92.76,$268.36,82500
101,Oracle,Computer Software,Technology,"Austin, TX",$42.44,5%,$6.72,$109.30,$250.87,143000
102,Nucor,Metals,Materials,"Charlotte, NC",$41.51,14%,$7.61,$32.48,$38.92,31400
103,TIAA,"Insurance: Life, Health (Mutual)",Financials,"New York, NY",$40.91,1%,$0.49,$634.46,,16070
104,Massachusetts Mutual Life Insurance,"Insurance: Life, Health (Mutual)",Financials,"Springfield, MA",$40.28,12%,$1.48,$381.34,,10662
105,General Dynamics,Aerospace & Defense,Aerospace & Defense,"Reston, VA",$39.41,2%,$3.39,$51.58,$62.69,106500
106,Capital One Financial,Commercial Banks,Financials,"McLean, VA",$38.37,20%,$7.36,$455.25,$36.78,55943
107,HF Sinclair,Petroleum Refining,Energy,"Dallas, TX",$38.20,108%,$2.92,$18.13,$9.49,5223
108,Dollar General,Specialty Retailers: Other,Retailing,"Goodlettsville, TN",$37.84,11%,$2.42,$29.08,$46.11,170000
109,Arrow Electronics,Wholesalers: Electronics and Office Equipment,Wholesalers,"Centennial, CO",$37.12,8%,$1.43,$21.76,$7.28,22300
110,Occidental Petroleum,"Mining, Crude-Oil Production",Energy,"Houston, TX",$37.10,39%,$13.30,$72.61,$56.07,11973
111,Northwestern Mutual,"Insurance: Life, Health (Mutual)",Financials,"Milwaukee, WI",$36.92,0%,$0.91,$340.39,,8323
112,Travelers,Insurance: Property and Casualty (Stock),Financials,"New York, NY",$36.88,6%,$2.84,$115.72,$39.78,32175
113,Northrop Grumman,Aerospace & Defense,Aerospace & Defense,"Falls Church, VA",$36.60,3%,$4.90,$43.76,$70.20,95000
114,USAA,Insurance: Property and Casualty (Stock),Financials,"San Antonio, TX",$36.30,-3%,$1.30,$204.00,,36820
115,Honeywell International,"Electronics, Electrical Equipment",Industrials,"Charlotte, NC",$35.47,3%,$4.97,$62.28,$127.70,97000
116,3M,Chemicals,Chemicals,"St. Paul, MN",$34.23,-3%,$5.78,$46.46,$57.96,92000
117,US Foods Holding,Wholesalers: Food and Grocery,Wholesalers,"Rosemont, IL",$34.06,15%,$0.26,$12.77,$8.57,29000
118,Warner Bros. Discovery,Entertainment,Media,"New York, NY",$33.82,177%,$7.37,$134.00,$36.78,37500
119,Lennar,Homebuilders,Engineering & Construction,"Miami, FL",$33.67,24%,$4.61,$37.98,$29.73,12012
120,D.R. Horton,Homebuilders,Engineering & Construction,"Arlington, TX",$33.48,21%,$5.86,$30.35,$33.55,13237
121,Jabil,Semiconductors and Other Electronic Components,Technology,"St. Petersburg, FL",$33.48,14%,$1.00,$19.72,$11.75,250000
122,Cheniere Energy,Pipelines,Energy,"Houston, TX",$33.43,111%,$1.43,$41.27,$38.41,1551
123,Broadcom,Semiconductors and Other Electronic Components,Technology,"San Jose, CA",$33.20,21%,$11.50,$73.25,$267.47,20000
124,CarMax,"Automotive Retailing, Services",Retailing,"Richmond, VA",$33.20,65%,$1.15,$26.34,$10.16,32647
125,Starbucks,Food Services,"Hotels, Restaurants & Leisure","Seattle, WA",$32.25,11%,$3.28,$27.98,$119.68,402000
126,Molina Healthcare,Health Care: Insurance and Managed Care,Health Care,"Long Beach, CA",$31.97,15%,$0.79,$12.31,$15.59,15000
127,Uber Technologies,Internet Services and Retailing,Technology,"San Francisco, CA",$31.88,83%,$9.14,$32.11,$63.84,32800
128,Philip Morris International,Tobacco,"Food, Beverages & Tobacco","Stamford, CT",$31.76,1%,$9.05,$61.68,$150.95,79800
129,Netflix,Entertainment,Media,"Los Gatos, CA",$31.62,6%,$4.49,$48.60,$153.86,12800
130,NRG Energy,Energy,Energy,"Houston, TX",$31.54,17%,$1.22,$29.15,$7.96,6603
131,Mondelez International,Food Consumer Products,"Food, Beverages & Tobacco","Chicago, IL",$31.50,10%,$2.72,$71.16,$95.05,91000
132,Danaher,Medical Products and Equipment,Health Care,"Washington, DC",$31.47,7%,$7.21,$84.35,$183.76,80000
133,Salesforce,Computer Software,Technology,"San Francisco, CA",$31.35,18%,$0.21,$98.85,$199.78,79390
134,Paramount Global,Entertainment,Media,"New York, NY",$31.33,6%,$1.10,$58.39,$14.66,27400
135,CBRE Group,Real Estate,Financials,"Dallas, TX",$30.83,11%,$1.41,$20.51,$22.56,115000
136,Micron Technology,Semiconductors and Other Electronic Components,Technology,"Boise, ID",$30.76,11%,$8.69,$66.28,$66.04,48000
137,Visa,Financial Data Services,Business Services,"San Francisco, CA",$29.31,22%,$14.96,$85.50,$475.31,26500
138,Southern,Utilities: Gas and Electric,Energy,"Atlanta, GA",$29.28,27%,$3.52,$134.89,$75.95,27562
139,United Natural Foods,Wholesalers: Food and Grocery,Wholesalers,"Providence, RI",$28.93,7%,$0.25,$7.63,$1.56,30300
140,Paccar,Motor Vehicles & Parts,Motor Vehicles & Parts,"Bellevue, WA",$28.82,23%,$3.01,$33.28,$38.25,31100
141,Duke Energy,Utilities: Gas and Electric,Energy,"Charlotte, NC",$28.78,17%,$2.55,$178.09,$74.34,27859
142,Eli Lilly,Pharmaceuticals,Health Care,"Indianapolis, IN",$28.54,1%,$6.24,$49.49,$326.35,39000
143,Hewlett Packard Enterprise,"Computers, Office Equipment",Technology,"Spring, TX",$28.50,3%,$0.87,$57.12,$20.64,60200
144,Dollar Tree,Specialty Retailers: Other,Retailing,"Chesapeake, VA",$28.33,8%,$1.62,$23.02,$31.76,136287
145,Lithia Motors,"Automotive Retailing, Services",Retailing,"Medford, OR",$28.19,23%,$1.25,$15.01,$6.34,21875
146,Cummins,Industrial Machinery,Industrials,"Columbus, IN",$28.07,17%,$2.15,$30.30,$33.81,73600
147,Penske Automotive Group,"Automotive Retailing, Services",Retailing,"Bloomfield Hills, MI",$27.82,9%,$1.38,$14.12,$9.80,26816
148,PayPal Holdings,Financial Data Services,Business Services,"San Jose, CA",$27.52,8%,$2.42,$78.72,$85.92,29900
149,U.S. Bancorp,Commercial Banks,Financials,"Minneapolis, MN",$27.40,16%,$5.82,$674.80,$55.22,76646
150,Gilead Sciences,Pharmaceuticals,Health Care,"Foster City, CA",$27.28,0%,$4.59,$63.17,$103.61,17000
151,AutoNation,"Automotive Retailing, Services",Retailing,"Fort Lauderdale, FL",$26.98,4%,$1.38,$10.06,$6.30,23600
152,Nvidia,Semiconductors and Other Electronic Components,Technology,"Santa Clara, CA",$26.97,0%,$4.37,$41.18,$686.09,26196
153,Kraft Heinz,Food Consumer Products,"Food, Beverages & Tobacco","Chicago, IL",$26.48,2%,$2.36,$90.51,$47.45,37000
154,Amgen,Pharmaceuticals,Health Care,"Thousand Oaks, CA",$26.32,1%,$6.55,$65.12,$129.09,25200
155,Applied Materials,Semiconductors and Other Electronic Components,Technology,"Santa Clara, CA",$25.78,12%,$6.52,$26.73,$103.81,33000
156,EOG Resources,"Mining, Crude-Oil Production",Energy,"Houston, TX",$25.70,38%,$7.76,$41.37,$67.37,2850
157,Truist Financial,Commercial Banks,Financials,"Charlotte, NC",$25.36,10%,$6.26,$555.26,$45.29,53987
158,Macy's,General Merchandisers,Retailing,"New York, NY",$25.30,0%,$1.18,$16.87,$4.75,94570
159,Union Pacific,Railroads,Transportation,"Omaha, NE",$24.88,14%,$7.00,$65.45,$123.15,33179
160,C.H. Robinson Worldwide,Transportation and Logistics,Transportation,"Eden Prairie, MN",$24.70,7%,$0.94,$5.96,$11.42,17399
161,Rite Aid,Food & Drug Stores,Food & Drug Stores,"Philadelphia, PA",$24.57,2%,$0.54,$8.53,$0.13,53000
162,Constellation Energy,Energy,Energy,"Baltimore, MD",$24.44,(No previous year),$0.16,$46.91,$25.71,13370
163,Avnet,Wholesalers: Electronics and Office Equipment,Wholesalers,"Phoenix, AZ",$24.31,24%,$0.69,$10.39,$4.13,15300
164,Pioneer Natural Resources,"Mining, Crude-Oil Production",Energy,"Irving, TX",$24.29,66%,$7.84,$35.74,$48.00,2076
165,Southwest Airlines,Airlines,Transportation,"Dallas, TX",$23.81,51%,$0.54,$35.37,$19.34,66656
166,CDW,Information Technology Services,Technology,"Lincolnshire, IL",$23.75,14%,$1.12,$13.13,$26.34,15100
