Song,Artist,Streams (Billions),Release Date
Roses (Imanbek remix),Saint Jhn with Imanbek,1.723,18-Sep-19
Smells Like Teen Spirit,Nirvana,1.553,10-Sep-91
Rockstar,Post Malone featuring 21 Savage,2.62,15-Sep-17
All of Me,John Legend,1.973,12-Aug-13
Happier,Marshmello and Bastille,1.817,17-Aug-18
Perfect,Ed Sheeran,2.361,03-Mar-17
Demons,Imagine Dragons,1.679,04-Sep-12
There's Nothing Holdin' Me Back,Shawn Mendes,1.579,20-Apr-17
Mood,24kGoldn and Iann Dior,1.628,24-Jul-20
Wonderwall,Oasis,1.593,30-Oct-95
Jocelyn Flores,XXXTentacion,1.905,31-Oct-17
The Box,Roddy Ricch,1.586,06-Dec-19
Goosebumps,Travis Scott featuring Kendrick Lamar,1.911,02-Sep-16
Someone You Loved,Lewis Capaldi,2.68,08-Nov-18
Lovely,Billie Eilish and Khalid,2.158,19-Apr-18
Lose Yourself,Eminem,1.68,28-Oct-02
One Dance,Drake featuring Wizkid and Kyla,2.556,05-Apr-16
Dynamite,BTS,1.606,21-Aug-20
God's Plan,Drake,2.126,19-Jan-18
Yellow,Coldplay,1.527,26-Jun-00
Shape of You,Ed Sheeran,3.398,06-Jan-17
Drivers License,Olivia Rodrigo,1.734,08-Jan-21
That's What I Like,Bruno Mars,1.587,18-Nov-16
Watermelon Sugar,Harry Styles,2.14,15-May-20
Too Good at Goodbyes,Sam Smith,1.673,08-Sep-17
Stay with Me,Sam Smith,1.709,14-Apr-14
Counting Stars,OneRepublic,1.843,25-Mar-13
Something Just Like This,The Chainsmokers and Coldplay,2.061,22-Feb-17
Levitating,Dua Lipa featuring DaBaby,1.666,01-Oct-20
Don't Let Me Down,The Chainsmokers featuring Daya,1.664,05-Feb-16
Closer,The Chainsmokers featuring Halsey,2.481,29-Jul-16
XO Tour Llif3,Lil Uzi Vert,1.847,24-Mar-17
Sicko Mode,Travis Scott featuring Drake,1.794,03-Aug-18
Sunflower,Post Malone and Swae Lee,2.575,18-Oct-18
Believer,Imagine Dragons,2.41,01-Feb-17
Don't Stop Me Now,Queen,1.521,26-Jan-79
Bohemian Rhapsody,Queen,2.069,31-Oct-75
Let Me Love You,DJ Snake featuring Justin Bieber,1.747,05-Aug-16
Uptown Funk,Mark Ronson featuring Bruno Mars,1.673,10-Nov-14
Lucid Dreams,Juice WRLD,2.177,04-May-18
The Hills,The Weeknd,1.802,27-May-15
Despacito (remix),Luis Fonsi and Daddy Yankee featuring Justin Bieber,1.601,17-Apr-17
Señorita,Shawn Mendes and Camila Cabello,2.365,21-Jun-19
Do I Wanna Know?,Arctic Monkeys,1.627,19-Jun-13
Say You Won't Let Go,James Arthur,2.269,09-Sep-16
Congratulations,Post Malone featuring Quavo,1.703,04-Nov-16
Faded,Alan Walker,1.699,03-Dec-15
Humble,Kendrick Lamar,1.812,30-Mar-17
Despacito,Luis Fonsi featuring Daddy Yankee,1.522,12-Jan-17
Thunder,Imagine Dragons,1.926,27-Apr-17
Shallow,Lady Gaga and Bradley Cooper,2.035,27-Sep-18
Thinking Out Loud,Ed Sheeran,2.177,20-Jun-14
Havana,Camila Cabello featuring Young Thug,1.861,03-Aug-17
New Rules,Dua Lipa,1.825,02-Jun-17
Treat You Better,Shawn Mendes,1.725,03-Jun-16
Stressed Out,Twenty One Pilots,1.86,28-Apr-15
Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,1.778,16-Aug-11
Let Her Go,Passenger,1.811,24-Jul-12
As It Was,Harry Styles,2.012,01-Apr-22
Cheap Thrills,Sia,1.555,29-Jan-16
Stay,The Kid Laroi and Justin Bieber,2.432,09-Jul-21
7 Rings,Ariana Grande,1.924,18-Jan-19
Blinding Lights,The Weeknd,3.449,29-Nov-19
Wake Me Up,Avicii,1.824,17-Jun-13
Industry Baby,Lil Nas X featuring Jack Harlow,1.691,23-Jul-21
Without Me,Halsey,1.692,04-Oct-18
I'm Yours,Jason Mraz,1.533,12-Feb-08
Take Me to Church,Hozier,1.984,13-Sep-13
Circles,Post Malone,1.99,30-Aug-19
Sugar,Maroon 5,1.524,29-Aug-14
Riptide,Vance Joy,1.819,21-May-13
Sorry,Justin Bieber,1.76,22-Oct-15
Good 4 U,Olivia Rodrigo,1.763,14-May-21
"Thank U, Next",Ariana Grande,1.652,03-Nov-18
Heat Waves,Glass Animals,2.32,29-Jun-20
Sweater Weather,The Neighbourhood,2.041,28-Mar-12
Better Now,Post Malone,1.71,27-Apr-18
No Role Modelz,J. Cole,1.592,04-Aug-14
Photograph,Ed Sheeran,2.099,20-Jun-14
Dance Monkey,Tones And I,2.77,10-May-19
Unforgettable,French Montana featuring Swae Lee,1.616,07-Apr-17
See You Again,Wiz Khalifa featuring Charlie Puth,1.54,10-Mar-15
Starboy,The Weeknd featuring Daft Punk,2.258,21-Sep-16
Mr. Brightside,The Killers,1.677,07-Jun-04
Bad Guy,Billie Eilish,2.223,29-Mar-19
'Till I Collapse,Eminem featuring Nate Dogg,1.579,26-May-02
7 Years,Lukas Graham,1.529,16-Jun-15
Dakiti,Bad Bunny and Jhay Cortez,1.647,30-Oct-20
Lean On,Major Lazer and DJ Snake featuring MØ,1.728,02-Mar-15
Moonlight,XXXTentacion,1.6,16-Mar-18
I Like Me Better,Lauv,1.53,19-May-17
Montero (Call Me by Your Name),Lil Nas X,1.642,26-Mar-21
Memories,Maroon 5,1.68,20-Sep-19
I Don't Care,Ed Sheeran and Justin Bieber,1.647,10-May-19
Stitches,Shawn Mendes,1.559,14-Apr-15
One Kiss,Calvin Harris and Dua Lipa,1.755,06-Apr-18
I Took a Pill in Ibiza (Seeb Remix),Mike Posner and Seeb,1.666,14-Apr-15
Sad!,XXXTentacion,1.987,01-Mar-18
Love Yourself,Justin Bieber,2.003,09-Nov-15
Don't Start Now,Dua Lipa,2.17,01-Nov-19
