State,Region,Capital City,Population,Land Area,Party
Alabama,South,Montgomery,5024279,50645,Republican
Alaska,West,Juneau,733391,570641,Republican
Arizona,West,Phoenix,7151502,113594,Republican
Arkansas,South,Little Rock,3011524,52035,Republican
California,West,Sacramento,39538223,155779,Democratic
Colorado,West,Denver,5773714,103642,Democratic
Connecticut,Northeast,Hartford,3605944,4842,Democratic
Delaware,South,Dover,989948,1949,Democratic
Florida,South,Tallahassee,21538187,53625,Republican
Georgia,South,Atlanta,10711908,57513,Republican
Hawaii,West,Honolulu,1455271,6423,Democratic
Idaho,West,Boise,1839106,82643,Republican
Illinois,Midwest,Springfield,12812508,55519,Democratic
Indiana,Midwest,Indianapolis,6785528,35826,Republican
Iowa,Midwest,Des Moines,3190369,55857,Republican
Kansas,Midwest,Topeka,2937880,81759,Republican
Kentucky,South,Frankfort,4505836,39486,Republican
Louisiana,South,Baton Rouge,4657757,43204,Republican
Maine,Northeast,Augusta,1362359,30843,Democratic
Maryland,South,Annapolis,6177224,9707,Democratic
Massachusetts,Northeast,Boston,7029917,7800,Democratic
Michigan,Midwest,Lansing,10077331,56539,Republican
Minnesota,Midwest,Saint Paul,5706494,79627,Democratic
Mississippi,South,Jackson,2961279,46923,Republican
Missouri,Midwest,Jefferson City,6154913,68742,Republican
Montana,West,Helena,1084225,145546,Republican
Nebraska,Midwest,Lincoln,1961504,76824,Republican
Nevada,West,Carson City,3104614,109781,Republican
New Hampshire,Northeast,Concord,1377529,8953,Democratic
New Jersey,Northeast,Trenton,9288994,7354,Democratic
New Mexico,West,Santa Fe,2117522,121298,Democratic
New York,Northeast,Albany,20201249,47126,Democratic
North Carolina,South,Raleigh,10439388,48618,Republican
North Dakota,Midwest,Bismarck,779094,69001,Republican
Ohio,Midwest,Columbus,11799448,40861,Republican
Oklahoma,South,Oklahoma City,3959353,68595,Republican
Oregon,West,Salem,4237256,95988,Democratic
Pennsylvania,Northeast,Harrisburg,13002700,44743,Republican
Rhode Island,Northeast,Providence,1097379,1034,Democratic
South Carolina,South,Columbia,5118425,30061,Republican
South Dakota,Midwest,Pierre,886667,75811,Republican
Tennessee,South,Nashville,6910840,41235,Republican
Texas,South,Austin,29145505,261232,Republican
Utah,West,Salt Lake City,3271616,82170,Republican
Vermont,Northeast,Montpelier,643077,9217,Democratic
Virginia,South,Richmond,8631393,39490,Democratic
Washington,West,Olympia,7705281,66456,Democratic
West Virginia,South,Charleston,1793716,24038,Republican
Wisconsin,Midwest,Madison,5893718,54158,Republican
Wyoming,West,Cheyenne,576851,97093,Republican