"year","fips","pop2010","pop2023","state","stateCode","growthSince2010","name","ctyname","slug","landArea","density","StatePercentage","StateRank","densityMi","area"
2023,6037,9818605,10072629,"California","CA",0.025871699696647266,"Los Angeles County","Los Angeles County","los-angeles-county-ca",4058,2482.1658452439624,0.2504165164539009,1,2482.1658452439624,4058
2023,6073,3095313,3359630,"California","CA",0.08539265657463391,"San Diego County","San Diego County","san-diego-county-ca",4207,798.5809365343475,0.08352405724205857,2,798.5809365343475,4207
2023,6059,3010232,3240017,"California","CA",0.07633464796068878,"Orange County","Orange County","orange-county-ca",791,4096.102402022756,0.08055034791725364,3,4096.102402022756,791
2023,6065,2189641,2486747,"California","CA",0.13568708295104082,"Riverside County","Riverside County","riverside-county-ca",7206,345.093949486539,0.061823236122584155,4,345.093949486539,7206
2023,6071,2035210,2225586,"California","CA",0.09354120704988667,"San Bernardino County","San Bernardino County","san-bernardino-county-ca",20057,110.96305529241661,0.05533048950661953,5,110.96305529241661,20057
2023,6085,1781642,1982645,"California","CA",0.11281896138505942,"Santa Clara County","Santa Clara County","santa-clara-county-ca",1290,1536.9341085271317,0.04929071191490766,6,1536.9341085271317,1290
2023,6001,1510271,1733977,"California","CA",0.1481230851946438,"Alameda County","Alameda County","alameda-county-ca",739,2346.382949932341,0.04310855487193917,7,2346.382949932341,739
2023,6067,1418788,1634936,"California","CA",0.15234693273413646,"Sacramento County","Sacramento County","sacramento-county-ca",965,1694.2341968911917,0.040646287850478253,8,1694.2341968911917,965
2023,6013,1049025,1200997,"California","CA",0.1448697600152522,"Contra Costa County","Contra Costa County","contra-costa-county-ca",723,1661.1300138312586,0.029858092163583674,9,1661.1300138312586,723
2023,6019,930450,1032114,"California","CA",0.10926325971304207,"Fresno County","Fresno County","fresno-county-ca",5959,173.20255076355093,0.02565947703060457,10,173.20255076355093,5959
2023,6029,839631,930115,"California","CA",0.10776638785371184,"Kern County","Kern County","kern-county-ca",8132,114.37715199212985,0.02312367091069472,11,114.37715199212985,8132
2023,6075,805235,894584,"California","CA",0.11096015448906216,"San Francisco County","San Francisco County","san-francisco-county-ca",47,19033.702127659573,0.022240331591225737,12,19033.702127659573,47
2023,6111,823318,849999,"California","CA",0.03240667639964134,"Ventura County","Ventura County","ventura-county-ca",1843,461.2040151926207,0.021131899980561114,13,461.2040151926207,1843
2023,6077,685306,807412,"California","CA",0.178177339757714,"San Joaquin County","San Joaquin County","san-joaquin-county-ca",1391,580.4543493889288,0.020073140823818395,14,580.4543493889288,1391
2023,6081,718451,778239,"California","CA",0.08321792300379571,"San Mateo County","San Mateo County","san-mateo-county-ca",448,1737.140625,0.019347868302164947,15,1737.140625,448
2023,6099,514453,564404,"California","CA",0.09709536148102926,"Stanislaus County","Stanislaus County","stanislaus-county-ca",1495,377.52775919732443,0.01403169753920724,16,377.52775919732443,1495
2023,6097,483878,490357,"California","CA",0.013389738735797074,"Sonoma County","Sonoma County","sonoma-county-ca",1576,311.14022842639594,0.01219080855244301,17,311.14022842639594,1576
2023,6107,442179,482399,"California","CA",0.09095863892224632,"Tulare County","Tulare County","tulare-county-ca",4824,99.99979270315092,0.011992964013749077,18,99.99979270315092,4824
2023,6095,413344,465536,"California","CA",0.1262677092204072,"Solano County","Solano County","solano-county-ca",822,566.345498783455,0.011573731485978806,19,566.345498783455,822
2023,6083,423895,455528,"California","CA",0.07462461222708461,"Santa Barbara County","Santa Barbara County","santa-barbara-county-ca",2735,166.55502742230348,0.011324921716784423,20,166.55502742230348,2735
2023,6053,415057,446229,"California","CA",0.07510293766880216,"Monterey County","Monterey County","monterey-county-ca",3281,136.0039622066443,0.011093738459016782,21,136.0039622066443,3281
2023,6061,348432,421632,"California","CA",0.2100840336134453,"Placer County","Placer County","placer-county-ca",1407,299.6673773987207,0.010482230276275553,22,299.6673773987207,1407
2023,6047,255793,288825,"California","CA",0.1291356682942848,"Merced County","Merced County","merced-county-ca",1935,149.26356589147287,0.007180503755752141,23,149.26356589147287,1935
2023,6079,269637,286261,"California","CA",0.061653259752927125,"San Luis Obispo County","San Luis Obispo County","san-luis-obispo-county-ca",3301,86.71947894577401,0.007116759925994508,24,86.71947894577401,3301
2023,6087,262382,273405,"California","CA",0.04201126601672378,"Santa Cruz County","Santa Cruz County","santa-cruz-county-ca",445,614.3932584269663,0.006797145778036576,25,614.3932584269663,445
2023,6041,252409,265294,"California","CA",0.05104810050354791,"Marin County","Marin County","marin-county-ca",520,510.1807692307692,0.0065954974928711455,26,510.1807692307692,520
2023,6113,200849,221068,"California","CA",0.10066766575885366,"Yolo County","Yolo County","yolo-county-ca",1015,217.80098522167486,0.005495991012816115,27,217.80098522167486,1015
2023,6007,220000,209121,"California","CA",-0.049449999999999994,"Butte County","Butte County","butte-county-ca",1636,127.82457212713936,0.005198975593894723,28,127.82457212713936,1636
2023,6017,181058,194224,"California","CA",0.07271702990202034,"El Dorado County","El Dorado County","el-dorado-county-ca",1708,113.71428571428571,0.004828619965228785,29,113.71428571428571,1708
2023,6089,177223,183634,"California","CA",0.03617476286937915,"Shasta County","Shasta County","shasta-county-ca",3775,48.64476821192053,0.004565341042789885,30,48.64476821192053,3775
2023,6025,174528,181253,"California","CA",0.038532499083241634,"Imperial County","Imperial County","imperial-county-ca",4177,43.393105099353605,0.004506146792145219,31,43.393105099353605,4177
2023,6039,150865,157872,"California","CA",0.04644549763033168,"Madera County","Madera County","madera-county-ca",2137,73.87552643893308,0.003924869692471572,32,73.87552643893308,2137
2023,6031,152982,152336,"California","CA",-0.0042227190126943315,"Kings County","Kings County","kings-county-ca",1389,109.67314614830813,0.0037872387090323143,33,109.67314614830813,1389
2023,6055,136484,138481,"California","CA",0.014631751707159912,"Napa County","Napa County","napa-county-ca",748,185.1350267379679,0.0034427883341134327,34,185.1350267379679,748
2023,6023,134623,137015,"California","CA",0.01776813768821084,"Humboldt County","Humboldt County","humboldt-county-ca",3568,38.40106502242153,0.0034063419790336,35,38.40106502242153,3568
2023,6057,98764,103285,"California","CA",0.04577578874893695,"Nevada County","Nevada County","nevada-county-ca",958,107.81315240083508,0.0025677774791408635,36,107.81315240083508,958
2023,6101,94737,101103,"California","CA",0.06719655467240893,"Sutter County","Sutter County","sutter-county-ca",602,167.9451827242525,0.0025135305850179476,37,167.9451827242525,602
2023,6045,87841,92729,"California","CA",0.05564599674411719,"Mendocino County","Mendocino County","mendocino-county-ca",3506,26.44865944095836,0.00230534383369563,38,26.44865944095836,3506
2023,6115,72155,84401,"California","CA",0.16971796826276764,"Yuba County","Yuba County","yuba-county-ca",632,133.54588607594937,0.002098300692423566,39,133.54588607594937,632
2023,6033,64665,69213,"California","CA",0.0703317095801439,"Lake County","Lake County","lake-county-ca",1256,55.10589171974522,0.001720710487135369,40,55.10589171974522,1256
2023,6069,55269,66891,"California","CA",0.21028062747652387,"San Benito County","San Benito County","san-benito-county-ca",1389,48.15766738660907,0.0016629830406855932,41,48.15766738660907,1389
2023,6103,63463,66540,"California","CA",0.04848494398310832,"Tehama County","Tehama County","tehama-county-ca",2950,22.55593220338983,0.0016542567987803945,42,22.55593220338983,2950
2023,6109,55365,55698,"California","CA",0.0060146301815227066,"Tuolumne County","Tuolumne County","tuolumne-county-ca",2221,25.077892841062585,0.0013847128821531472,43,25.077892841062585,2221
2023,6009,45578,45205,"California","CA",-0.008183772872877304,"Calaveras County","Calaveras County","calaveras-county-ca",1020,44.318627450980394,0.0011238454852550005,44,44.318627450980394,1020
2023,6093,44900,43830,"California","CA",-0.023830734966592382,"Siskiyou County","Siskiyou County","siskiyou-county-ca",6278,6.981522777954763,0.0010896614891876268,45,6.981522777954763,6278
2023,6005,38091,41188,"California","CA",0.08130529521409247,"Amador County","Amador County","amador-county-ca",595,69.2235294117647,0.0010239784945621714,46,69.2235294117647,595
2023,6035,34895,32082,"California","CA",-0.08061326837655824,"Lassen County","Lassen County","lassen-county-ca",4541,7.064963664391104,0.0007975934267879864,47,7.064963664391104,4541
2023,6021,28122,29157,"California","CA",0.036803925752080247,"Glenn County","Glenn County","glenn-county-ca",1314,22.189497716894977,0.0007248747442446643,48,22.189497716894977,1314
2023,6015,28610,27482,"California","CA",-0.03942677385529536,"Del Norte County","Del Norte County","del-norte-county-ca",1006,27.318091451292247,0.000683232421762591,49,27.318091451292247,1006
2023,6011,21419,21965,"California","CA",0.025491386152481477,"Colusa County","Colusa County","colusa-county-ca",1151,19.083405734144222,0.0005460737989962634,50,19.083405734144222,1151
2023,6063,20007,19724,"California","CA",-0.014145049232768492,"Plumas County","Plumas County","plumas-county-ca",2553,7.72581276929103,0.0004903601006784566,51,7.72581276929103,2553
2023,6027,18546,19157,"California","CA",0.032945109457565014,"Inyo County","Inyo County","inyo-county-ca",10181,1.8816422748256556,0.00047626386375467417,52,1.8816422748256556,10181
2023,6105,13786,16811,"California","CA",0.21942550413462936,"Trinity County","Trinity County","trinity-county-ca",3179,5.288140924819126,0.00041793975119172247,53,5.288140924819126,3179
2023,6043,18251,16795,"California","CA",-0.07977645060544625,"Mariposa County","Mariposa County","mariposa-county-ca",1449,11.590752242926156,0.00041754197378293846,54,11.590752242926156,1449
2023,6051,14202,12892,"California","CA",-0.09224052950288697,"Mono County","Mono County","mono-county-ca",3049,4.228271564447359,0.0003205091471276953,55,4.228271564447359,3049
2023,6049,9686,8403,"California","CA",-0.13245921949205042,"Modoc County","Modoc County","modoc-county-ca",3915,2.146360153256705,0.00020890772287573874,56,2.146360153256705,3915
2023,6091,3240,3236,"California","CA",-0.0012345679012345512,"Sierra County","Sierra County","sierra-county-ca",953,3.3955928646379854,0.00008045048092656081,57,3.3955928646379854,953
2023,6003,1175,1213,"California","CA",0.03234042553191485,"Alpine County","Alpine County","alpine-county-ca",738,1.6436314363143631,0.000030156499803435808,58,1.6436314363143631,738